CITY_NAME,CITY_STATE
Logan,Arkansas
Logan,Colorado
Lonoke,Arkansas
Los Angeles,California
Lowndes,Alabama
Macon,Alabama
Madera,California
Madison,Alabama
Madison,Arkansas
Marengo,Alabama
Maricopa,Arizona
Marin,California
Marion,Alabama
Marion,Arkansas
Mariposa,California
Marshall,Alabama
Matanuska-Susitna Borough,Alaska
Mendocino,California
Merced,California
Mesa,Colorado
Miller,Arkansas
Mineral,Colorado
Mississippi,Arkansas
Mobile,Alabama
Modoc,California
Moffat,Colorado
Mohave,Arizona
Mono,California
Monroe,Alabama
Monroe,Arkansas
Monterey,California
Montezuma,Colorado
Montgomery,Alabama
Montgomery,Arkansas
Montrose,Colorado
Morgan,Alabama
Morgan,Colorado
Napa,California
Navajo,Arizona
Nevada,Arkansas
Nevada,California
Newton,Arkansas
Nome Census Area,Alaska
North Slope Borough,Alaska
Northwest Arctic Borough,Alaska
Orange,California
Otero,Colorado
Ouachita,Arkansas
Ouray,Colorado
Park,Colorado
Perry,Alabama
Perry,Arkansas
Petersburg Borough,Alaska
Phillips,Arkansas
Phillips,Colorado
Pickens,Alabama
Pike,Alabama
Pike,Arkansas
Pima,Arizona
Pinal,Arizona
Pitkin,Colorado
Placer,California
Plumas,California
Poinsett,Arkansas
Polk,Arkansas
Pope,Arkansas
Prairie,Arkansas
Prince of Wales-Hyder Census Area,Alaska
Prowers,Colorado
Pueblo,Colorado
Pulaski,Arkansas
Randolph,Alabama
Randolph,Arkansas
Rio Blanco,Colorado
Rio Grande,Colorado
Riverside,California
Russell,Alabama
Sacramento,California
Saline,Arkansas
San Benito,California
San Bernardino,California
San Diego,California
San Francisco,California
San Joaquin,California
San Luis Obispo,California
San Mateo,California
Santa Barbara,California
Santa Clara,California
Santa Cruz,Arizona
Santa Cruz,California
Scott,Arkansas
Searcy,Arkansas
Sebastian,Arkansas
Sevier,Arkansas
Sharp,Arkansas
Shasta,California
Shelby,Alabama
Sierra,California
Siskiyou,California
Sitka City and Borough,Alaska
Skagway Municipality,Alaska
Solano,California
Sonoma,California
Southeast Fairbanks Census Area,Alaska
St. Clair,Alabama
St. Francis,Arkansas
Stanislaus,California
Stone,Arkansas
Sumter,Alabama
Sutter,California
Talladega,Alabama
Tallapoosa,Alabama
Tehama,California
Trinity,California
Tulare,California
Tuolumne,California
Tuscaloosa,Alabama
Union,Arkansas
Valdez-Cordova Census Area,Alaska
Van Buren,Arkansas
Ventura,California
Walker,Alabama
Washington,Alabama
Washington,Arkansas
White,Arkansas
Wilcox,Alabama
Winston,Alabama
Woodruff,Arkansas
Wrangell City and Borough,Alaska
Yakutat City and Borough,Alaska
Yavapai,Arizona
Yell,Arkansas
Yolo,California
Yuba,California
Yukon-Koyukuk Census Area,Alaska
Yuma,Arizona
