County Name,GDP(2015),GDP(2016),GDP(2017),GDP(2018),rank_2018,percent_2016,percent_2017,percent_2018,change_rank2018,State
Hale,"280,598","291,003","285,818","280,041",63,3.7,-1.8,-2,65,Alabama
Henry,"312,287","308,340","320,602","327,713",59,-1.3,4,2.2,41,Alabama
Houston,"4,190,752","4,221,379","4,238,912","4,349,489",10,0.7,0.4,2.6,34,Alabama
Jackson,"1,420,121","1,317,412","1,300,797","1,319,359",28,-7.2,-1.3,1.4,49,Alabama
Jefferson,"39,503,092","39,475,772","40,567,288","41,774,355",1,-0.1,2.8,3,30,Alabama
Lamar,"291,779","288,955","289,482","296,054",61,-1,0.2,2.3,39,Alabama
Lauderdale,"2,445,200","2,402,567","2,395,624","2,467,086",19,-1.7,-0.3,3,29,Alabama
Lawrence,"556,342","518,065","517,319","563,208",45,-6.9,-0.1,8.9,1,Alabama
Lee,"5,457,975","5,702,179","5,897,678","6,013,577",7,4.5,3.4,2,44,Alabama
Limestone,"3,149,394","3,223,504","3,286,233","3,288,507",12,2.4,1.9,0.1,61,Alabama
Lowndes,"414,680","410,956","415,054","413,334",52,-0.9,1,-0.4,62,Alabama
Macon,"437,082","437,693","427,667","437,305",50,0.1,-2.3,2.3,40,Alabama
Madison,"19,888,881","20,314,558","20,825,274","21,707,550",2,2.1,2.5,4.2,17,Alabama
Marengo,"673,931","678,430","650,660","657,507",42,0.7,-4.1,1.1,57,Alabama
Marion,"779,032","759,279","773,143","804,250",37,-2.5,1.8,4,19,Alabama
Marshall,"2,830,730","2,864,795","2,943,251","3,061,736",13,1.2,2.7,4,18,Alabama
Mobile,"17,548,197","17,901,624","17,642,633","17,882,906",3,2,-1.4,1.4,52,Alabama
Monroe,"611,360","610,770","610,310","618,262",43,-0.1,-0.1,1.3,53,Alabama
Montgomery,"12,294,898","12,473,078","12,457,671","12,633,330",4,1.4,-0.1,1.4,50,Alabama
Morgan,"4,665,658","4,808,714","4,827,146","4,980,085",9,3.1,0.4,3.2,24,Alabama
Perry,"203,560","198,292","191,859","183,432",66,-2.6,-3.2,-4.4,67,Alabama
Pickens,"407,990","399,004","389,315","390,766",54,-2.2,-2.4,0.4,59,Alabama
Pike,"1,305,018","1,327,688","1,315,469","1,309,102",29,1.7,-0.9,-0.5,63,Alabama
Randolph,"438,364","415,983","418,763","427,804",51,-5.1,0.7,2.2,42,Alabama
Russell,"1,417,799","1,437,492","1,427,776","1,472,862",26,1.4,-0.7,3.2,26,Alabama
St. Clair,"1,666,235","1,694,102","1,718,514","1,764,952",23,1.7,1.4,2.7,33,Alabama
Shelby,"9,434,367","9,427,502","9,929,586","10,317,323",5,-0.1,5.3,3.9,21,Alabama
Sumter,"353,400","359,431","335,668","326,706",60,1.7,-6.6,-2.7,66,Alabama
Talladega,"2,820,169","2,795,690","2,745,857","2,840,194",14,-0.9,-1.8,3.4,23,Alabama
Tallapoosa,"1,189,686","1,222,578","1,146,322","1,186,139",30,2.8,-6.2,3.5,22,Alabama
Tuscaloosa,"8,593,630","8,509,273","8,775,197","9,042,556",6,-1,3.1,3,28,Alabama
Walker,"1,942,586","1,871,326","1,942,619","2,058,416",20,-3.7,3.8,6,4,Alabama
Washington,"727,863","778,980","775,076","799,290",38,7,-0.5,3.1,27,Alabama
Wilcox,"372,273","379,381","373,667","378,418",55,1.9,-1.5,1.3,54,Alabama
Winston,"629,762","623,036","650,751","667,455",41,-1.1,4.4,2.6,35,Alabama
Aleutians East Borough,"181,353","194,592","201,690","201,612",20,7.3,3.6,0,24,Alaska
Aleutians West Census Area,"371,005","367,795","347,146","353,175",15,-0.9,-5.6,1.7,13,Alaska
Anchorage Municipality,"20,856,627","20,413,792","19,985,366","20,329,942",1,-2.1,-2.1,1.7,14,Alaska
Bethel Census Area,"611,875","606,090","608,355","625,190",12,-0.9,0.4,2.8,8,Alaska
Bristol Bay Borough,"113,052","116,004","114,238","130,341",23,2.6,-1.5,14.1,1,Alaska
Denali Borough,"243,176","233,441","234,794","237,263",18,-4,0.6,1.1,19,Alaska
Dillingham Census Area,"249,674","243,808","242,542","248,432",17,-2.3,-0.5,2.4,10,Alaska
Fairbanks North Star Borough,"5,599,363","5,572,193","5,582,087","5,654,089",3,-0.5,0.2,1.3,17,Alaska
Haines Borough,"93,788","91,604","95,983","98,959",24,-2.3,4.8,3.1,7,Alaska
Hoonah-Angoon Census Area,"85,838","81,045","81,947","83,216",28,-5.6,1.1,1.5,15,Alaska
Juneau City and Borough,"2,221,936","2,237,416","2,294,784","2,298,214",6,0.7,2.6,0.1,23,Alaska
Kenai Peninsula Borough,"2,901,418","2,833,117","2,788,536","2,808,539",4,-2.4,-1.6,0.7,21,Alaska
Ketchikan Gateway Borough,"818,853","797,981","791,585","800,724",8,-2.5,-0.8,1.2,18,Alaska
Kodiak Island Borough,"767,476","713,809","711,871","715,043",9,-7,-0.3,0.4,22,Alaska
Kusilvak Census Area,"145,175","146,585","142,129","144,996",22,1,-3,2,12,Alaska
Lake and Peninsula Borough,"79,081","76,957","84,208","88,124",27,-2.7,9.4,4.7,5,Alaska
Matanuska-Susitna Borough,"2,288,760","2,260,538","2,207,986","2,266,408",7,-1.2,-2.3,2.6,9,Alaska
Nome Census Area,"412,660","380,519","392,868","396,694",14,-7.8,3.2,1,20,Alaska
North Slope Borough,"11,130,682","10,567,213","11,231,169","10,469,543",2,-5.1,6.3,-6.8,29,Alaska
Northwest Arctic Borough,"577,594","591,812","680,814","696,765",10,2.5,15,2.3,11,Alaska
Petersburg Borough,"195,546","185,565","175,901","172,178",21,-5.1,-5.2,-2.1,28,Alaska
Prince of Wales-Hyder Census Area,"222,437","229,481","222,055","219,255",19,3.2,-3.2,-1.3,27,Alaska
Sitka City and Borough,"474,614","430,768","429,859","443,526",13,-9.2,-0.2,3.2,6,Alaska
Skagway Municipality,"89,024","95,080","95,733","95,346",25,6.8,0.7,-0.4,25,Alaska
Southeast Fairbanks Census Area,"558,749","594,212","640,754","637,943",11,6.3,7.8,-0.4,26,Alaska
Valdez-Cordova Census Area,"2,174,869","2,157,680","2,173,189","2,331,614",5,-0.8,0.7,7.3,2,Alaska
Wrangell City and Borough,"96,477","100,629","92,788","94,120",26,4.3,-7.8,1.4,16,Alaska
Yakutat City and Borough,"34,590","28,345","27,057","28,420",29,-18.1,-4.5,5,4,Alaska
Yukon-Koyukuk Census Area,"247,510","260,813","258,303","273,529",16,5.4,-1,5.9,3,Alaska
Apache,"2,502,406","2,509,130","2,544,096","2,619,469",10,0.3,1.4,3,11,Arizona
Cochise,"4,205,478","4,315,749","4,259,736","4,404,134",8,2.6,-1.3,3.4,10,Arizona
Coconino,"6,251,840","6,396,139","6,753,461","6,770,442",5,2.3,5.6,0.3,15,Arizona
Gila,"1,975,267","1,895,553","1,979,124","1,985,337",11,-4,4.4,0.3,14,Arizona
Graham,"838,174","971,213","1,024,616","1,097,980",14,15.9,5.5,7.2,1,Arizona
Greenlee,"1,603,588","1,447,670","1,764,250","1,771,158",12,-9.7,21.9,0.4,13,Arizona
La Paz,"554,228","582,158","582,552","602,409",15,5,0.1,3.4,9,Arizona
Maricopa,"197,556,651","204,282,531","211,308,745","220,789,933",1,3.4,3.4,4.5,5,Arizona
Mohave,"4,700,479","4,841,032","4,900,560","5,068,013",7,3,1.2,3.4,8,Arizona
Navajo,"3,277,796","3,227,185","3,380,361","3,535,546",9,-1.5,4.7,4.6,4,Arizona
Pima,"36,108,903","37,134,412","38,636,977","40,011,352",2,2.8,4,3.6,6,Arizona
Pinal,"6,467,645","6,590,811","6,571,381","6,936,698",4,1.9,-0.3,5.6,2,Arizona
Santa Cruz,"1,538,667","1,544,234","1,620,780","1,701,223",13,0.4,5,5,3,Arizona
Yavapai,"5,837,276","6,038,037","6,263,132","6,481,866",6,3.4,3.7,3.5,7,Arizona
Yuma,"6,776,399","7,370,372","7,783,381","7,874,389",3,8.8,5.6,1.2,12,Arizona
Arkansas,"1,004,316","1,064,308","1,011,497","1,028,895",22,6,-5,1.7,34,Arkansas
Ashley,"893,843","910,844","896,476","907,876",24,1.9,-1.6,1.3,46,Arkansas
Baxter,"1,101,296","1,094,691","1,102,545","1,131,278",20,-0.6,0.7,2.6,23,Arkansas
Benton,"11,874,454","12,095,992","12,846,262","13,245,065",2,1.9,6.2,3.1,15,Arkansas
Boone,"1,106,264","1,113,842","1,117,118","1,150,136",19,0.7,0.3,3,20,Arkansas
Bradley,"321,127","313,284","323,897","330,283",54,-2.4,3.4,2,30,Arkansas
Calhoun,"314,529","305,565","326,112","344,894",53,-2.8,6.7,5.8,1,Arkansas
Carroll,"756,728","723,423","784,947","788,311",29,-4.4,8.5,0.4,53,Arkansas
Chicot,"234,007","253,168","254,641","244,098",62,8.2,0.6,-4.1,71,Arkansas
Clark,"718,661","723,399","730,698","734,017",30,0.7,1,0.5,52,Arkansas
Clay,"299,759","289,400","313,160","304,763",56,-3.5,8.2,-2.7,69,Arkansas
Cleburne,"1,099,560","1,009,797","982,503","890,222",25,-8.2,-2.7,-9.4,74,Arkansas
Cleveland,"160,765","156,902","163,377","169,834",70,-2.4,4.1,4,9,Arkansas
Columbia,"883,285","843,077","831,485","828,515",28,-4.6,-1.4,-0.4,57,Arkansas
Conway,"1,154,642","1,085,068","1,025,383","962,556",23,-6,-5.5,-6.1,73,Arkansas
Craighead,"3,821,826","3,860,116","3,922,075","4,031,319",5,1,1.6,2.8,21,Arkansas
Crawford,"1,528,602","1,517,580","1,542,213","1,567,342",15,-0.7,1.6,1.6,35,Arkansas
Crittenden,"1,493,676","1,464,223","1,483,554","1,481,505",16,-2,1.3,-0.1,56,Arkansas
Cross,"437,090","435,801","439,065","440,941",48,-0.3,0.7,0.4,54,Arkansas
Dallas,"195,291","194,016","195,576","192,320",65,-0.7,0.8,-1.7,67,Arkansas
Desha,"505,433","536,213","495,296","498,045",42,6.1,-7.6,0.6,51,Arkansas
Drew,"570,890","589,264","571,341","574,589",37,3.2,-3,0.6,50,Arkansas
Faulkner,"3,720,455","3,679,979","3,625,171","3,683,719",6,-1.1,-1.5,1.6,36,Arkansas
Franklin,"485,328","455,437","471,660","479,936",44,-6.2,3.6,1.8,33,Arkansas
Fulton,"199,447","179,951","180,330","187,790",67,-9.8,0.2,4.1,8,Arkansas
Garland,"2,937,538","2,942,846","3,003,768","3,051,825",7,0.2,2.1,1.6,38,Arkansas
Grant,"375,292","372,803","378,549","390,516",51,-0.7,1.5,3.2,13,Arkansas
Greene,"1,316,996","1,283,954","1,315,511","1,342,823",17,-2.5,2.5,2.1,28,Arkansas
Hempstead,"817,269","818,374","883,781","877,218",26,0.1,8,-0.7,61,Arkansas
Hot Spring,"823,538","893,297","873,769","863,609",27,8.5,-2.2,-1.2,64,Arkansas
Howard,"580,517","569,038","593,606","597,565",36,-2,4.3,0.7,49,Arkansas
Independence,"1,489,901","1,572,081","1,582,135","1,670,702",14,5.5,0.6,5.6,4,Arkansas
Izard,"291,945","280,613","267,905","273,211",58,-3.9,-4.5,2,29,Arkansas
Jackson,"528,349","533,677","520,962","528,213",40,1,-2.4,1.4,44,Arkansas
Jefferson,"2,917,025","2,935,141","2,931,545","2,917,078",8,0.6,-0.1,-0.5,59,Arkansas
Johnson,"692,708","688,151","703,176","698,286",31,-0.7,2.2,-0.7,60,Arkansas
Lafayette,"197,146","201,252","182,376","174,464",69,2.1,-9.4,-4.3,72,Arkansas
Lawrence,"377,185","401,118","419,851","444,009",47,6.3,4.7,5.8,2,Arkansas
Lee,"186,225","178,330","170,645","178,058",68,-4.2,-4.3,4.3,6,Arkansas
Lincoln,"263,976","278,624","250,313","261,122",60,5.5,-10.2,4.3,7,Arkansas
Little River,"406,071","396,547","384,516","378,858",52,-2.3,-3,-1.5,65,Arkansas
Logan,"628,938","605,629","614,896","600,829",35,-3.7,1.5,-2.3,68,Arkansas
Lonoke,"1,129,147","1,120,170","1,145,735","1,159,033",18,-0.8,2.3,1.2,47,Arkansas
Madison,"407,009","390,283","405,857","411,807",50,-4.1,4,1.5,42,Arkansas
Marion,"550,764","486,098","486,441","494,246",43,-11.7,0.1,1.6,37,Arkansas
Miller,"1,116,700","1,094,405","1,075,969","1,102,278",21,-2,-1.7,2.4,25,Arkansas
Mississippi,"2,006,432","2,165,446","2,086,796","2,205,413",12,7.9,-3.6,5.7,3,Arkansas
Monroe,"192,302","197,137","194,720","188,860",66,2.5,-1.2,-3,70,Arkansas
Montgomery,"166,208","157,184","155,057","157,162",72,-5.4,-1.4,1.4,45,Arkansas
Nevada,"276,505","270,195","264,549","272,959",59,-2.3,-2.1,3.2,12,Arkansas
Newton,"101,767","97,685","95,467","96,963",75,-4,-2.3,1.6,41,Arkansas
Ouachita,"622,256","610,952","605,002","614,610",34,-1.8,-1,1.6,39,Arkansas
Perry,"153,683","142,159","142,145","141,590",73,-7.5,0,-0.4,58,Arkansas
Phillips,"480,917","457,899","444,620","458,421",46,-4.8,-2.9,3.1,16,Arkansas
Pike,"245,683","234,545","240,251","248,289",61,-4.5,2.4,3.3,11,Arkansas
Poinsett,"529,275","528,857","541,014","555,990",38,-0.1,2.3,2.8,22,Arkansas
Polk,"500,117","479,843","490,456","502,922",41,-4.1,2.2,2.5,24,Arkansas
Pope,"2,805,696","2,728,238","2,683,755","2,692,810",10,-2.8,-1.6,0.3,55,Arkansas
Prairie,"158,599","159,145","164,188","165,493",71,0.3,3.2,0.8,48,Arkansas
Pulaski,"26,416,384","26,975,550","26,639,032","27,208,113",1,2.1,-1.2,2.1,27,Arkansas
Randolph,"348,243","367,600","393,806","415,843",49,5.6,7.1,5.6,5,Arkansas
St. Francis,"689,420","670,682","693,463","687,857",32,-2.7,3.4,-0.8,62,Arkansas
Saline,"1,935,576","1,926,672","1,930,880","1,991,439",13,-0.5,0.2,3.1,14,Arkansas
Scott,"275,104","266,741","283,220","288,385",57,-3,6.2,1.8,32,Arkansas
Searcy,"128,823","122,884","120,167","122,483",74,-4.6,-2.2,1.9,31,Arkansas
Sebastian,"6,009,047","6,017,794","5,982,291","6,067,121",4,0.1,-0.6,1.4,43,Arkansas
Sevier,"449,689","445,428","448,651","462,219",45,-0.9,0.7,3,19,Arkansas
Sharp,"327,148","315,495","314,779","309,809",55,-3.6,-0.2,-1.6,66,Arkansas
Stone,"230,089","212,889","219,896","228,301",63,-7.5,3.3,3.8,10,Arkansas
Union,"2,763,045","2,652,569","2,723,839","2,806,423",9,-4,2.7,3,18,Arkansas
Van Buren,"942,137","826,520","756,095","658,285",33,-12.3,-8.5,-12.9,75,Arkansas
Washington,"9,039,927","9,389,303","9,676,654","9,828,703",3,3.9,3.1,1.6,40,Arkansas
White,"2,425,197","2,350,710","2,296,231","2,272,114",11,-3.1,-2.3,-1.1,63,Arkansas
Woodruff,"185,095","191,496","204,480","210,719",64,3.5,6.8,3.1,17,Arkansas
Yell,"534,662","517,732","537,493","550,276",39,-3.2,3.8,2.4,26,Arkansas
Alameda,"114,592,329","119,447,773","125,803,266","130,701,879",6,4.2,5.3,3.9,20,California
Alpine,"194,700","197,160","197,087","214,895",58,1.3,0,9,5,California
Amador,"1,514,323","1,557,733","1,589,308","1,651,760",46,2.9,2,3.9,19,California
Butte,"8,271,641","8,685,754","9,002,731","9,219,915",29,5,3.6,2.4,41,California
Calaveras,"1,249,325","1,351,739","1,452,571","1,440,250",48,8.2,7.5,-0.8,53,California
Colusa,"1,693,756","1,579,352","1,472,320","1,673,234",45,-6.8,-6.8,13.6,1,California
Contra Costa,"71,028,489","70,594,339","75,495,547","77,463,188",11,-0.6,6.9,2.6,39,California
Del Norte,"869,352","902,897","905,649","939,846",53,3.9,0.3,3.8,21,California
El Dorado,"6,601,749","7,043,191","7,419,868","7,653,908",32,6.7,5.3,3.2,30,California
Fresno,"39,100,161","39,839,249","41,597,807","43,436,946",14,1.9,4.4,4.4,15,California
Glenn,"1,234,667","1,354,291","1,318,557","1,495,087",47,9.7,-2.6,13.4,2,California
Humboldt,"5,528,777","5,765,056","5,954,256","6,118,687",34,4.3,3.3,2.8,37,California
Imperial,"7,759,415","8,016,694","8,189,014","8,038,068",30,3.3,2.1,-1.8,54,California
Inyo,"1,123,225","1,184,726","1,195,289","1,205,264",50,5.5,0.9,0.8,48,California
Kern,"48,137,003","49,076,083","50,226,164","49,864,234",13,2,2.3,-0.7,51,California
Kings,"5,487,526","5,377,698","5,481,134","5,648,724",35,-2,1.9,3.1,32,California
Lake,"1,948,505","2,059,415","2,106,437","2,178,663",43,5.7,2.3,3.4,26,California
Lassen,"1,298,987","1,346,229","1,340,576","1,358,142",49,3.6,-0.4,1.3,45,California
Los Angeles,"653,885,024","667,706,082","688,661,590","710,893,266",1,2.1,3.1,3.2,28,California
Madera,"5,982,371","6,418,227","6,658,105","7,099,931",33,7.3,3.7,6.6,7,California
Marin,"19,089,876","19,648,493","19,983,906","20,896,027",22,2.9,1.7,4.6,14,California
Mariposa,"689,194","751,702","796,797","811,272",54,9.1,6,1.8,44,California
Mendocino,"3,334,857","3,386,979","3,444,874","3,552,687",37,1.6,1.7,3.1,31,California
Merced,"8,595,504","8,742,254","9,504,388","9,435,667",28,1.7,8.7,-0.7,52,California
Modoc,"433,203","445,488","426,486","441,800",56,2.8,-4.3,3.6,24,California
Mono,"907,585","949,362","1,046,210","1,009,386",52,4.6,10.2,-3.5,56,California
Monterey,"24,379,259","24,879,466","25,149,109","25,834,713",18,2.1,1.1,2.7,38,California
Napa,"9,214,016","9,336,207","9,506,546","9,999,759",27,1.3,1.8,5.2,10,California
Nevada,"3,942,943","4,029,754","4,053,373","4,170,409",36,2.2,0.6,2.9,34,California
Orange,"208,517,447","212,281,069","223,791,535","230,145,536",3,1.8,5.4,2.8,35,California
Placer,"18,891,434","19,854,262","21,027,562","22,021,571",21,5.1,5.9,4.7,13,California
Plumas,"937,022","1,012,209","1,109,769","1,052,152",51,8,9.6,-5.2,58,California
Riverside,"72,375,487","74,405,465","77,102,154","79,775,504",10,2.8,3.6,3.5,25,California
Sacramento,"78,935,508","79,773,093","82,506,601","85,235,147",8,1.1,3.4,3.3,27,California
San Benito,"2,275,993","2,385,697","2,482,964","2,495,845",40,4.8,4.1,0.5,49,California
San Bernardino,"77,495,694","79,698,867","82,478,302","85,114,555",9,2.8,3.5,3.2,29,California
San Diego,"200,564,607","203,882,502","210,693,896","219,361,505",4,1.7,3.3,4.1,18,California
San Francisco,"133,969,619","142,435,855","151,359,380","162,541,244",5,6.3,6.3,7.4,6,California
San Joaquin,"26,817,792","26,805,456","28,027,041","29,257,580",15,0,4.6,4.4,16,California
San Luis Obispo,"15,388,320","15,865,142","16,138,584","16,536,404",24,3.1,1.7,2.5,40,California
San Mateo,"86,010,720","91,287,140","99,816,105","104,986,153",7,6.1,9.3,5.2,11,California
Santa Barbara,"26,252,102","26,107,316","26,861,059","27,855,958",17,-0.6,2.9,3.7,22,California
Santa Clara,"251,750,330","268,421,986","287,235,403","316,525,538",2,6.6,7,10.2,4,California
Santa Cruz,"13,166,978","13,370,887","13,520,021","13,765,700",25,1.5,1.1,1.8,43,California
Shasta,"7,010,541","7,289,876","7,635,618","7,655,080",31,4,4.7,0.3,50,California
Sierra,"174,241","186,168","191,322","215,033",57,6.8,2.8,12.4,3,California
Siskiyou,"1,724,683","1,802,970","1,811,500","1,776,081",44,4.5,0.5,-2,55,California
Solano,"21,145,851","22,142,123","22,841,474","23,303,994",19,4.7,3.2,2,42,California
Sonoma,"25,854,007","26,617,535","27,421,167","28,565,621",16,3,3,4.2,17,California
Stanislaus,"21,248,796","21,075,833","21,993,425","23,160,773",20,-0.8,4.4,5.3,8,California
Sutter,"3,289,404","3,252,117","3,326,349","3,486,115",38,-1.1,2.3,4.8,12,California
Tehama,"1,917,492","2,037,676","2,100,567","2,210,392",42,6.3,3.1,5.2,9,California
Trinity,"451,395","473,471","492,954","506,794",55,4.9,4.1,2.8,36,California
Tulare,"16,739,950","17,147,139","17,773,212","18,415,098",23,2.4,3.7,3.6,23,California
Tuolumne,"2,226,912","2,425,612","2,556,252","2,430,940",41,8.9,5.4,-4.9,57,California
Ventura,"50,480,790","51,798,309","52,776,068","53,439,240",12,2.6,1.9,1.3,46,California
Yolo,"12,532,441","12,952,543","13,350,147","13,751,632",26,3.4,3.1,3,33,California
Yuba,"2,753,556","2,872,113","2,985,566","3,020,233",39,4.3,4,1.2,47,California
Adams,"21,039,417","21,995,795","22,938,605","23,933,937",6,4.5,4.3,4.3,16,Colorado
Alamosa,"662,337","659,375","654,314","671,553",33,-0.4,-0.8,2.6,29,Colorado
Arapahoe,"39,956,471","41,013,746","42,654,549","44,037,874",2,2.6,4,3.2,25,Colorado
Archuleta,"464,385","481,176","479,089","482,935",40,3.6,-0.4,0.8,44,Colorado
Baca,"118,407","121,877","127,452","137,473",55,2.9,4.6,7.9,7,Colorado
Bent,"172,963","181,238","163,672","165,660",53,4.8,-9.7,1.2,42,Colorado
Boulder,"22,669,578","23,423,069","24,607,654","25,319,458",5,3.3,5.1,2.9,26,Colorado
Broomfield,"7,595,628","7,596,604","8,366,371","8,050,690",10,0,10.1,-3.8,57,Colorado
Chaffee,"606,033","634,208","662,174","692,114",31,4.6,4.4,4.5,13,Colorado
Cheyenne,"217,923","230,128","251,808","235,536",49,5.6,9.4,-6.5,59,Colorado
Clear Creek,"639,648","494,493","509,932","500,533",38,-22.7,3.1,-1.8,51,Colorado
Conejos,"215,666","216,947","222,447","244,248",47,0.6,2.5,9.8,4,Colorado
Costilla,"107,006","96,329","104,746","107,662",60,-10,8.7,2.8,28,Colorado
Crowley,"168,503","182,013","153,741","126,638",57,8,-15.5,-17.6,63,Colorado
Custer,"140,388","126,686","125,904","127,789",56,-9.8,-0.6,1.5,41,Colorado
Delta,"791,826","756,267","750,050","785,652",27,-4.5,-0.8,4.7,11,Colorado
Denver,"64,116,859","64,925,150","67,039,713","70,054,379",1,1.3,3.3,4.5,14,Colorado
Dolores,"216,453","191,724","188,029","156,585",54,-11.4,-1.9,-16.7,62,Colorado
Douglas,"14,173,343","14,332,960","15,226,588","15,743,268",9,1.1,6.2,3.4,23,Colorado
Eagle,"3,136,360","3,216,484","3,308,719","3,375,460",15,2.6,2.9,2,36,Colorado
Elbert,"408,333","423,323","451,766","484,094",39,3.7,6.7,7.2,8,Colorado
El Paso,"30,201,637","30,907,788","32,265,733","33,349,174",3,2.3,4.4,3.4,24,Colorado
Fremont,"1,248,334","1,269,874","1,295,616","1,325,142",22,1.7,2,2.3,33,Colorado
Garfield,"4,230,409","4,246,153","4,301,192","4,243,642",13,0.4,1.3,-1.3,48,Colorado
Gilpin,"505,564","503,282","552,434","525,142",37,-0.5,9.8,-4.9,58,Colorado
Grand,"653,776","661,941","685,071","714,703",29,1.2,3.5,4.3,17,Colorado
Gunnison,"923,743","943,497","1,012,690","1,028,922",24,2.1,7.3,1.6,39,Colorado
Hinsdale,"48,200","47,982","52,284","52,699",63,-0.5,9,0.8,45,Colorado
Huerfano,"233,778","246,665","271,378","273,895",46,5.5,10,0.9,43,Colorado
Jackson,"89,185","93,650","98,742","118,656",59,5,5.4,20.2,2,Colorado
Jefferson,"26,075,796","27,600,781","28,434,307","29,445,620",4,5.8,3,3.6,22,Colorado
Kiowa,"84,548","83,008","90,628","73,798",62,-1.8,9.2,-18.6,64,Colorado
Kit Carson,"318,197","325,292","331,713","391,520",44,2.2,2,18,3,Colorado
Lake,"277,307","266,524","296,883","309,433",45,-3.9,11.4,4.2,18,Colorado
La Plata,"3,499,160","3,674,622","3,650,188","3,515,882",14,5,-0.7,-3.7,55,Colorado
Larimer,"14,784,676","15,358,832","16,121,584","16,793,330",8,3.9,5,4.2,19,Colorado
Las Animas,"718,839","736,109","723,964","711,460",30,2.4,-1.6,-1.7,50,Colorado
Lincoln,"363,542","374,098","396,871","391,910",43,2.9,6.1,-1.3,47,Colorado
Logan,"1,217,271","1,235,667","1,090,097","1,061,679",23,1.5,-11.8,-2.6,54,Colorado
Mesa,"5,757,436","5,695,220","5,970,021","6,253,144",11,-1.1,4.8,4.7,12,Colorado
Mineral,"70,751","68,993","73,103","77,089",61,-2.5,6,5.5,9,Colorado
Moffat,"1,042,946","1,045,120","1,026,134","987,890",25,0.2,-1.8,-3.7,56,Colorado
Montezuma,"1,808,550","1,888,742","2,024,058","1,799,102",18,4.4,7.2,-11.1,60,Colorado
Montrose,"1,301,522","1,314,618","1,359,203","1,413,627",21,1,3.4,4,20,Colorado
Morgan,"1,527,903","1,494,827","1,559,780","1,592,344",20,-2.2,4.3,2.1,34,Colorado
Otero,"597,938","580,665","579,125","594,219",35,-2.9,-0.3,2.6,30,Colorado
